Article_URL,Adresse,Kvdm
https://www.boligsiden.dk/adresse/weidekampsgade-29-0-1-2300-koebenhavn-s-01018122__29_st___1,"Weidekampsgade 29, st. 1. 2300 København S",98
https://www.boligsiden.dk/adresse/absalonsgade-3-2-tv-1658-koebenhavn-v-01010020___3__2__tv,"Absalonsgade 3, 2. tv. 1658 København V",102
https://www.boligsiden.dk/adresse/tagensvej-47-5-36-2200-koebenhavn-n-01017336__47__5__36,"Tagensvej 47, 5. 36. 2200 København N",43
https://www.boligsiden.dk/adresse/frankrigshusene-14-0-th-2300-koebenhavn-s-01011900__14_st__th,"Frankrigshusene 14, st. th. 2300 København S",56
https://www.boligsiden.dk/adresse/kastrupvej-21-1-2300-koebenhavn-s-01013600__21__1____,"Kastrupvej 21, 1. 2300 København S",77
https://www.boligsiden.dk/adresse/dexter-gordons-vej-35-2-3-2450-koebenhavn-sv-01018822__35__2___3,"Dexter Gordons Vej 35, 2. 3. 2450 København SV",73
https://www.boligsiden.dk/adresse/nattergalevej-38-1-tv-2400-koebenhavn-nv-01014948__38__1__tv,"Nattergalevej 38, 1. tv. 2400 København NV",57
https://www.boligsiden.dk/adresse/marstalsgade-40-4-tv-2100-koebenhavn-oe-01014668__40__4__tv,"Marstalsgade 40, 4. tv. 2100 København Ø",55
https://www.boligsiden.dk/adresse/enghavevej-23-1-th-1674-koebenhavn-v-01011592__23__1__th,"Enghavevej 23, 1. th. 1674 København V",64
https://www.boligsiden.dk/adresse/drejoegade-26c-5-502-2100-koebenhavn-oe-01011332_26c__5_502,"Drejøgade 26C, 5. 502. 2100 København Ø",39
https://www.boligsiden.dk/adresse/ryesgade-100-2-tv-2100-koebenhavn-oe-01016040_100__2__tv,"Ryesgade 100, 2. tv. 2100 København Ø",84
https://www.boligsiden.dk/adresse/borgergade-26-4-5-1300-koebenhavn-k-01010716__26__4___5,"Borgergade 26, 4. 5. 1300 København K",72
https://www.boligsiden.dk/adresse/frederikssundsvej-416-3-th-2700-broenshoej-01011964_416__3__th,"Frederikssundsvej 416, 3. th. 2700 Brønshøj",62
https://www.boligsiden.dk/adresse/reverdilsgade-10-2-tv-1701-koebenhavn-v-01015820__10__2__tv,"Reverdilsgade 10, 2. tv. 1701 København V",78
https://www.boligsiden.dk/adresse/nordbanegade-22-2-th-2200-koebenhavn-n-01015004__22__2__th,"Nordbanegade 22, 2. th. 2200 København N",49
https://www.boligsiden.dk/adresse/amerika-plads-25c-2-tv-2100-koebenhavn-oe-01010139_25c__2__tv,"Amerika Plads 25C, 2. tv. 2100 København Ø",101
https://www.boligsiden.dk/adresse/hamletsgade-30-1-th-2200-koebenhavn-n-01012552__30__1__th,"Hamletsgade 30, 1. th. 2200 København N",62
https://www.boligsiden.dk/adresse/laksegade-20d-1-th-1063-koebenhavn-k-01014092_20d__1__th,"Laksegade 20D, 1. th. 1063 København K",52
https://www.boligsiden.dk/adresse/soelvgade-15-4-th-1307-koebenhavn-k-01017280__15__4__th,"Sølvgade 15, 4. th. 1307 København K",81
https://www.boligsiden.dk/adresse/dronningens-tvaergade-34-1-4-1302-koebenhavn-k-01011356__34__1___4,"Dronningens Tværgade 34, 1. 4. 1302 København K",79
https://www.boligsiden.dk/adresse/ved-volden-6-4-tv-1425-koebenhavn-k-01018116___6__4__tv,"Ved Volden 6, 4. tv. 1425 København K",105
https://www.boligsiden.dk/adresse/tranevej-10-3-tv-2400-koebenhavn-nv-01017620__10__3__tv,"Tranevej 10, 3. tv. 2400 København NV",63
https://www.boligsiden.dk/adresse/tom-kristensens-vej-30-1-tv-2300-koebenhavn-s-01017547__30__1__tv,"Tom Kristensens Vej 30, 1. tv. 2300 København S",97
https://www.boligsiden.dk/adresse/blankavej-21-4-tv-2500-valby-01010596__21__4__tv,"Blankavej 21, 4. tv. 2500 Valby",61
https://www.boligsiden.dk/adresse/hollaenderdybet-30-2-th-2300-koebenhavn-s-01012980__30__2__th,"Hollænderdybet 30, 2. th. 2300 København S",96
https://www.boligsiden.dk/adresse/hornemansgade-1-2-tv-2100-koebenhavn-oe-01013020___1__2__tv,"Hornemansgade 1, 2. tv. 2100 København Ø",106
https://www.boligsiden.dk/adresse/thorshavnsgade-22-0-tv-2300-koebenhavn-s-01017404__22_st__tv,"Thorshavnsgade 22, st. tv. 2300 København S",61
https://www.boligsiden.dk/adresse/silkeborggade-45-3-tv-2100-koebenhavn-oe-01016384__45__3__tv,"Silkeborggade 45, 3. tv. 2100 København Ø",69
https://www.boligsiden.dk/adresse/hedegaardsvej-41-1-th-2300-koebenhavn-s-01012720__41__1__th,"Hedegaardsvej 41, 1. th. 2300 København S",48
https://www.boligsiden.dk/adresse/c.f.-moellers-alle-56-3-tv-2300-koebenhavn-s-01014902__56__3__tv,"C.F. Møllers Allé 56, 3. tv. 2300 København S",104
https://www.boligsiden.dk/adresse/oesterbrogade-202-1-th-2100-koebenhavn-oe-01018580_202__1__th,"Østerbrogade 202, 1. th. 2100 København Ø",71
https://www.boligsiden.dk/adresse/groennehoej-9-1-tv-2720-vanloese-01012356___9__1__tv,"Grønnehøj 9, 1. tv. 2720 Vanløse",60
https://www.boligsiden.dk/adresse/groendals-parkvej-6a-1-th-2720-vanloese-01012328__6a__1__th,"Grøndals Parkvej 6A, 1. th. 2720 Vanløse",60
https://www.boligsiden.dk/adresse/jagtvej-200-3-th-2100-koebenhavn-oe-01013332_200__3__th,"Jagtvej 200, 3. th. 2100 København Ø",181
https://www.boligsiden.dk/adresse/skjulhoej-alle-75-1-tv-2720-vanloese-01016480__75__1__tv,"Skjulhøj Allé 75, 1. tv. 2720 Vanløse",70
https://www.boligsiden.dk/adresse/dronningens-tvaergade-32-5-1-1302-koebenhavn-k-01011356__32__5___1,"Dronningens Tværgade 32, 5. 1. 1302 København K",79
https://www.boligsiden.dk/adresse/lyngbyvej-32d-6-th-2100-koebenhavn-oe-01014476_32d__6__th,"Lyngbyvej 32D, 6. th. 2100 København Ø",93
https://www.boligsiden.dk/adresse/ouroegade-33-3-th-2100-koebenhavn-oe-01015348__33__3__th,"Ourøgade 33, 3. th. 2100 København Ø",56
https://www.boligsiden.dk/adresse/frimestervej-16-3-tv-2400-koebenhavn-nv-01011996__16__3__tv,"Frimestervej 16, 3. tv. 2400 København NV",45
https://www.boligsiden.dk/adresse/groenningen-9-4-th-1270-koebenhavn-k-01012364___9__4__th,"Grønningen 9, 4. th. 1270 København K",65
https://www.boligsiden.dk/adresse/drejoegade-26c-1-104-2100-koebenhavn-oe-01011332_26c__1_104,"Drejøgade 26C, 1. 104. 2100 København Ø",39
https://www.boligsiden.dk/adresse/dunkerquegade-24-0-tv-2150-nordhavn-01011374__24_st__tv,"Dunkerquegade 24, st. tv. 2150 Nordhavn",96
https://www.boligsiden.dk/adresse/dagmarsgade-28-3-84-2200-koebenhavn-n-01011208__28__3__84,"Dagmarsgade 28, 3. 84. 2200 København N",56
https://www.boligsiden.dk/adresse/willy-brandts-vej-5-0-tv-2450-koebenhavn-sv-01018844___5_st__tv,"Willy Brandts Vej 5, st. tv. 2450 København SV",117
https://www.boligsiden.dk/adresse/marstalsgade-36-1-tv-2100-koebenhavn-oe-01014668__36__1__tv,"Marstalsgade 36, 1. tv. 2100 København Ø",55
https://www.boligsiden.dk/adresse/lyneborggade-25-2-th-2300-koebenhavn-s-01014468__25__2__th,"Lyneborggade 25, 2. th. 2300 København S",84
https://www.boligsiden.dk/adresse/islands-brygge-36c-5-2-2300-koebenhavn-s-01013300_36c__5___2,"Islands Brygge 36C, 5. 2. 2300 København S",101
https://www.boligsiden.dk/adresse/prisholmvej-3-0-tv-2500-valby-01015624___3_st__tv,"Prisholmvej 3, st. tv. 2500 Valby",53
https://www.boligsiden.dk/adresse/kongedybet-16-3-th-2300-koebenhavn-s-01013836__16__3__th,"Kongedybet 16, 3. th. 2300 København S",85
https://www.boligsiden.dk/adresse/kvaesthusgade-3c-2-tv-1251-koebenhavn-k-01014044__3c__2__tv,"Kvæsthusgade 3C, 2. tv. 1251 København K",111
https://www.boligsiden.dk/adresse/broenshoejvej-15a-0-th-2700-broenshoej-01010944_15a_st__th,"Brønshøjvej 15A, st. th. 2700 Brønshøj",56
https://www.boligsiden.dk/adresse/tranevej-8-3-th-2400-koebenhavn-nv-01017620___8__3__th,"Tranevej 8, 3. th. 2400 København NV",54
https://www.boligsiden.dk/adresse/sundkaj-43-2-th-2150-nordhavn-01017122__43__2__th,"Sundkaj 43, 2. th. 2150 Nordhavn",78
https://www.boligsiden.dk/adresse/ebbe-rodes-alle-3-1-tv-2500-valby-01011414___3__1__tv,"Ebbe Rodes Allé 3, 1. tv. 2500 Valby",93
https://www.boligsiden.dk/adresse/kongelundsvej-63c-1-2-2300-koebenhavn-s-01013844_63c__1___2,"Kongelundsvej 63C, 1. 2. 2300 København S",49
https://www.boligsiden.dk/adresse/ernie-wilkins-vej-25-4-th-2450-koebenhavn-sv-01018824__25__4__th,"Ernie Wilkins Vej 25, 4. th. 2450 København SV",83
https://www.boligsiden.dk/adresse/vigerslevvej-334-2-th-2500-valby-01018320_334__2__th,"Vigerslevvej 334, 2. th. 2500 Valby",56
https://www.boligsiden.dk/adresse/peter-fabers-gade-43-3-tv-2200-koebenhavn-n-01015492__43__3__tv,"Peter Fabers Gade 43, 3. tv. 2200 København N",50
https://www.boligsiden.dk/adresse/willemoesgade-62-5-th-2100-koebenhavn-oe-01018356__62__5__th,"Willemoesgade 62, 5. th. 2100 København Ø",72
https://www.boligsiden.dk/adresse/sankt-annae-gade-4b-0-1416-koebenhavn-k-01016228__4b_st____,"Sankt Annæ Gade 4B, st. 1416 København K",89
https://www.boligsiden.dk/adresse/svinget-13-1-th-2300-koebenhavn-s-01017196__13__1__th,"Svinget 13, 1. th. 2300 København S",71
https://www.boligsiden.dk/adresse/sorgenfrigade-6-1-th-2200-koebenhavn-n-01016732___6__1__th,"Sorgenfrigade 6, 1. th. 2200 København N",57
https://www.boligsiden.dk/adresse/islands-brygge-161-2-tv-2300-koebenhavn-s-01013300_161__2__tv,"Islands Brygge 161, 2. tv. 2300 København S",123
https://www.boligsiden.dk/adresse/c.f.-moellers-alle-64-4-tv-2300-koebenhavn-s-01014902__64__4__tv,"C.F. Møllers Allé 64, 4. tv. 2300 København S",93
https://www.boligsiden.dk/adresse/c.f.-moellers-alle-34-10-2300-koebenhavn-s-01014902__34_10____,"C.F. Møllers Allé 34, 10. 2300 København S",93
https://www.boligsiden.dk/adresse/maribovej-15-1-th-2500-valby-01014640__15__1__th,"Maribovej 15, 1. th. 2500 Valby",55
https://www.boligsiden.dk/adresse/drechselsgade-12-5-tv-2300-koebenhavn-s-01011324__12__5__tv,"Drechselsgade 12, 5. tv. 2300 København S",138
https://www.boligsiden.dk/adresse/dronningens-tvaergade-48-6-1-1302-koebenhavn-k-01011356__48__6___1,"Dronningens Tværgade 48, 6. 1. 1302 København K",74
https://www.boligsiden.dk/adresse/aalekistevej-55-1-th-2720-vanloese-01018672__55__1__th,"Ålekistevej 55, 1. th. 2720 Vanløse",59
https://www.boligsiden.dk/adresse/rothesgade-4-4-tv-2100-koebenhavn-oe-01015984___4__4__tv,"Rothesgade 4, 4. tv. 2100 København Ø",94
https://www.boligsiden.dk/adresse/aalandsgade-28-3-mf-2300-koebenhavn-s-01018664__28__3__mf,"Ålandsgade 28, 3. mf. 2300 København S",51
https://www.boligsiden.dk/adresse/ribegade-6-2-th-2100-koebenhavn-oe-01015832___6__2__th,"Ribegade 6, 2. th. 2100 København Ø",224
https://www.boligsiden.dk/adresse/krogerupgade-55-2-th-2200-koebenhavn-n-01013976__55__2__th,"Krogerupgade 55, 2. th. 2200 København N",52
https://www.boligsiden.dk/adresse/uffesgade-8-3-tv-2200-koebenhavn-n-01017812___8__3__tv,"Uffesgade 8, 3. tv. 2200 København N",77
https://www.boligsiden.dk/adresse/edvard-thomsens-vej-69-3-2-2300-koebenhavn-s-01011442__69__3___2,"Edvard Thomsens Vej 69, 3. 2. 2300 København S",90
https://www.boligsiden.dk/adresse/julius-bloms-gade-31-1-tv-2200-koebenhavn-n-01013440__31__1__tv,"Julius Bloms Gade 31, 1. tv. 2200 København N",56
https://www.boligsiden.dk/adresse/flensborggade-3-0-tv-1669-koebenhavn-v-01011812___3_st__tv,"Flensborggade 3, st. tv. 1669 København V",52
https://www.boligsiden.dk/adresse/studsgaardsgade-16-1-2100-koebenhavn-oe-01017068__16__1____,"Studsgaardsgade 16, 1. 2100 København Ø",66
https://www.boligsiden.dk/adresse/dagmarsgade-24-0-96-2200-koebenhavn-n-01011208__24_st__96,"Dagmarsgade 24, st. 96. 2200 København N",57
https://www.boligsiden.dk/adresse/margretheholmsvej-74-1-tv-1432-koebenhavn-k-01014635__74__1__tv,"Margretheholmsvej 74, 1. tv. 1432 København K",92
https://www.boligsiden.dk/adresse/oernevej-13-3-th-2400-koebenhavn-nv-01018560__13__3__th,"Ørnevej 13, 3. th. 2400 København NV",68
https://www.boligsiden.dk/adresse/esbern-snares-gade-3-4-th-1725-koebenhavn-v-01011656___3__4__th,"Esbern Snares Gade 3, 4. th. 1725 København V",72
https://www.boligsiden.dk/adresse/pakhusvej-4-4-th-2100-koebenhavn-oe-01015389___4__4__th,"Pakhusvej 4, 4. th. 2100 København Ø",113
https://www.boligsiden.dk/adresse/frederikssundsvej-18a-4-tv-2400-koebenhavn-nv-01011964_18a__4__tv,"Frederikssundsvej 18A, 4. tv. 2400 København NV",58
https://www.boligsiden.dk/adresse/klerkegade-17b-2-th-1308-koebenhavn-k-01013736_17b__2__th,"Klerkegade 17B, 2. th. 1308 København K",75
https://www.boligsiden.dk/adresse/korsoergade-32-0-2100-koebenhavn-oe-01013928__32_st____,"Korsørgade 32, st. 2100 København Ø",92
https://www.boligsiden.dk/adresse/tycho-brahes-alle-11-5-2300-koebenhavn-s-01017740__11__5____,"Tycho Brahes Allé 11, 5. 2300 København S",79
https://www.boligsiden.dk/adresse/gerbrandsvej-24-1-3-2300-koebenhavn-s-01012176__24__1___3,"Gerbrandsvej 24, 1. 3. 2300 København S",48
https://www.boligsiden.dk/adresse/toftegaards-alle-23-2-th-2500-valby-01017524__23__2__th,"Toftegårds Allé 23, 2. th. 2500 Valby",70
https://www.boligsiden.dk/adresse/broenshoejgaardvej-4-1-tv-2700-broenshoej-01010932___4__1__tv,"Brønshøjgårdvej 4, 1. tv. 2700 Brønshøj",67
https://www.boligsiden.dk/adresse/enghavevej-19-0-1674-koebenhavn-v-01011592__19_st____,"Enghavevej 19, st. 1674 København V",90
https://www.boligsiden.dk/adresse/noerre-farimagsgade-74-3-tv-1364-koebenhavn-k-01015200__74__3__tv,"Nørre Farimagsgade 74, 3. tv. 1364 København K",137
https://www.boligsiden.dk/adresse/oerestads-boulevard-57c-2-225-2300-koebenhavn-s-01018541_57c__2_225,"Ørestads Boulevard 57C, 2. 225. 2300 København S",94
https://www.boligsiden.dk/adresse/raevegade-5-0-1315-koebenhavn-k-01016076___5_st____,"Rævegade 5, st. 1315 København K",43
https://www.boligsiden.dk/adresse/c.f.-moellers-alle-40-10-th-2300-koebenhavn-s-01014902__40_10__th,"C.F. Møllers Allé 40, 10. th. 2300 København S",93
https://www.boligsiden.dk/adresse/eriksgade-5-0-tv-1708-koebenhavn-v-01011640___5_st__tv,"Eriksgade 5, st. tv. 1708 København V",41
https://www.boligsiden.dk/adresse/landemaerket-27-4-tv-1119-koebenhavn-k-01014100__27__4__tv,"Landemærket 27, 4. tv. 1119 København K",238
https://www.boligsiden.dk/adresse/rodosvej-50-1-2300-koebenhavn-s-01015896__50__1____,"Rodosvej 50, 1. 2300 København S",101
https://www.boligsiden.dk/adresse/hyltebjerg-alle-76a-2-tv-2720-vanloese-01013140_76a__2__tv,"Hyltebjerg Allé 76A, 2. tv. 2720 Vanløse",72
https://www.boligsiden.dk/adresse/oerestads-boulevard-63b-2-tv-2300-koebenhavn-s-01018541_63b__2__tv,"Ørestads Boulevard 63B, 2. tv. 2300 København S",79
https://www.boligsiden.dk/adresse/matthaeusgade-50-3-16-1666-koebenhavn-v-01014684__50__3__16,"Matthæusgade 50, 3. 16. 1666 København V",47
https://www.boligsiden.dk/adresse/gasvaerksvej-13-2-th-1656-koebenhavn-v-01012136__13__2__th,"Gasværksvej 13, 2. th. 1656 København V",90
https://www.boligsiden.dk/adresse/gormsgade-1-1-th-2200-koebenhavn-n-01012268___1__1__th,"Gormsgade 1, 1. th. 2200 København N",77
https://www.boligsiden.dk/adresse/julius-bloms-gade-2-2-tv-2200-koebenhavn-n-01013440___2__2__tv,"Julius Bloms Gade 2, 2. tv. 2200 København N",77
https://www.boligsiden.dk/adresse/hjoerringgade-1-2-tv-2100-koebenhavn-oe-01012956___1__2__tv,"Hjørringgade 1, 2. tv. 2100 København Ø",88
https://www.boligsiden.dk/adresse/hans-hedtofts-gade-5-6-th-2300-koebenhavn-s-01012591___5__6__th,"Hans Hedtofts Gade 5, 6. th. 2300 København S",112
https://www.boligsiden.dk/adresse/willy-brandts-vej-23-3-4-2450-koebenhavn-sv-01018844__23__3___4,"Willy Brandts Vej 23, 3. 4. 2450 København SV",87
https://www.boligsiden.dk/adresse/krogerupgade-63-4-th-2200-koebenhavn-n-01013976__63__4__th,"Krogerupgade 63, 4. th. 2200 København N",52
https://www.boligsiden.dk/adresse/esromgade-30-1-tv-2200-koebenhavn-n-01011680__30__1__tv,"Esromgade 30, 1. tv. 2200 København N",55
https://www.boligsiden.dk/adresse/vimmelskaftet-36-1-1161-koebenhavn-k-01018364__36__1____,"Vimmelskaftet 36, 1. 1161 København K",180
https://www.boligsiden.dk/adresse/kronborggade-26-2-th-2200-koebenhavn-n-01013988__26__2__th,"Kronborggade 26, 2. th. 2200 København N",90
https://www.boligsiden.dk/adresse/valdemarsgade-66-5-tv-1665-koebenhavn-v-01017924__66__5__tv,"Valdemarsgade 66, 5. tv. 1665 København V",52
https://www.boligsiden.dk/adresse/hornemansgade-1-3-th-2100-koebenhavn-oe-01013020___1__3__th,"Hornemansgade 1, 3. th. 2100 København Ø",181
https://www.boligsiden.dk/adresse/amerika-plads-32b-3-3-2100-koebenhavn-oe-01010139_32b__3___3,"Amerika Plads 32B, 3. 3. 2100 København Ø",111
https://www.boligsiden.dk/adresse/weidekampsgade-63-6-1-2300-koebenhavn-s-01018122__63__6___1,"Weidekampsgade 63, 6. 1. 2300 København S",81
https://www.boligsiden.dk/adresse/reykjaviksgade-5-3-th-2300-koebenhavn-s-01015824___5__3__th,"Reykjaviksgade 5, 3. th. 2300 København S",99
https://www.boligsiden.dk/adresse/oeresundsvej-55a-2-2300-koebenhavn-s-01018544_55a__2____,"Øresundsvej 55A, 2. 2300 København S",87
https://www.boligsiden.dk/adresse/richard-mortensens-vej-75-3-2-2300-koebenhavn-s-01015833__75__3___2,"Richard Mortensens Vej 75, 3. 2. 2300 København S",92
https://www.boligsiden.dk/adresse/laerkevej-12-0-tv-2400-koebenhavn-nv-01014528__12_st__tv,"Lærkevej 12, st. tv. 2400 København NV",64
https://www.boligsiden.dk/adresse/aebeloegade-29-5-th-2100-koebenhavn-oe-01018500__29__5__th,"Æbeløgade 29, 5. th. 2100 København Ø",109
https://www.boligsiden.dk/adresse/graekenlandsvej-25-1-tv-2300-koebenhavn-s-01012312__25__1__tv,"Grækenlandsvej 25, 1. tv. 2300 København S",53
https://www.boligsiden.dk/adresse/robert-jacobsens-vej-82-6-3-2300-koebenhavn-s-01015894__82__6___3,"Robert Jacobsens Vej 82, 6. 3. 2300 København S",104
https://www.boligsiden.dk/adresse/horsensgade-13-4-tv-2100-koebenhavn-oe-01013032__13__4__tv,"Horsensgade 13, 4. tv. 2100 København Ø",49
https://www.boligsiden.dk/adresse/hoeyensgade-33-0-2100-koebenhavn-oe-01013248__33_st____,"Høyensgade 33, st. 2100 København Ø",48
https://www.boligsiden.dk/adresse/midtermolen-16-5-th-2100-koebenhavn-oe-01014745__16__5__th,"Midtermolen 16, 5. th. 2100 København Ø",73
https://www.boligsiden.dk/adresse/amagerbrogade-28-3-tv-2300-koebenhavn-s-01010108__28__3__tv,"Amagerbrogade 28, 3. tv. 2300 København S",149
https://www.boligsiden.dk/adresse/katrinedalsvej-46-1-16-2720-vanloese-01013608__46__1__16,"Katrinedalsvej 46, 1. 16. 2720 Vanløse",31
https://www.boligsiden.dk/adresse/rosenvaengets-alle-5b-2100-koebenhavn-oe-01015948__5b_______,Rosenvængets Allé 5B 2100 København Ø,53
https://www.boligsiden.dk/adresse/p.-knudsens-gade-4-2-tv-2450-koebenhavn-sv-01013816___4__2__tv,"P. Knudsens Gade 4, 2. tv. 2450 København SV",57
https://www.boligsiden.dk/adresse/gunloegsgade-20-2-1-2300-koebenhavn-s-01012436__20__2___1,"Gunløgsgade 20, 2. 1. 2300 København S",59
https://www.boligsiden.dk/adresse/oesterbrogade-222-2-tv-2100-koebenhavn-oe-01018580_222__2__tv,"Østerbrogade 222, 2. tv. 2100 København Ø",85
https://www.boligsiden.dk/adresse/silkeborggade-36-4-tv-2100-koebenhavn-oe-01016384__36__4__tv,"Silkeborggade 36, 4. tv. 2100 København Ø",73
https://www.boligsiden.dk/adresse/havneholmen-38-4-tv-1561-koebenhavn-v-01012702__38__4__tv,"Havneholmen 38, 4. tv. 1561 København V",70
https://www.boligsiden.dk/adresse/holsteinsgade-66-1-6-2100-koebenhavn-oe-01013008__66__1___6,"Holsteinsgade 66, 1. 6. 2100 København Ø",56
https://www.boligsiden.dk/adresse/sundkaj-75-0-tv-2150-nordhavn-01017122__75_st__tv,"Sundkaj 75, st. tv. 2150 Nordhavn",70
https://www.boligsiden.dk/adresse/graabroedretorv-15-2-th-1154-koebenhavn-k-01012384__15__2__th,"Gråbrødretorv 15, 2. th. 1154 København K",102
https://www.boligsiden.dk/adresse/laessoeesgade-25-0-tv-2200-koebenhavn-n-01014532__25_st__tv,"Læssøesgade 25, st. tv. 2200 København N",105
https://www.boligsiden.dk/adresse/krusaagade-28-4-tv-1719-koebenhavn-v-01014008__28__4__tv,"Krusågade 28, 4. tv. 1719 København V",60
https://www.boligsiden.dk/adresse/enghavevej-27-2-th-1674-koebenhavn-v-01011592__27__2__th,"Enghavevej 27, 2. th. 1674 København V",53
https://www.boligsiden.dk/adresse/paradisaeblevej-82-13-1-2500-valby-01018848__82_13___1,"Paradisæblevej 82, 13. 1. 2500 Valby",144
https://www.boligsiden.dk/adresse/dronningens-tvaergade-46-4-3-1302-koebenhavn-k-01011356__46__4___3,"Dronningens Tværgade 46, 4. 3. 1302 København K",87
https://www.boligsiden.dk/adresse/nyborggade-18-1-tv-2100-koebenhavn-oe-01015088__18__1__tv,"Nyborggade 18, 1. tv. 2100 København Ø",54
https://www.boligsiden.dk/adresse/naboloes-2-0-tv-1206-koebenhavn-k-01014928___2_st__tv,"Naboløs 2, st. tv. 1206 København K",85
https://www.boligsiden.dk/adresse/hallandsgade-10b-2300-koebenhavn-s-01012536_10b_______,Hallandsgade 10B 2300 København S,132
https://www.boligsiden.dk/adresse/lundtoftegade-103-3-tv-2200-koebenhavn-n-01014448_103__3__tv,"Lundtoftegade 103, 3. tv. 2200 København N",55
https://www.boligsiden.dk/adresse/nyborggade-10-6-th-2100-koebenhavn-oe-01015088__10__6__th,"Nyborggade 10, 6. th. 2100 København Ø",114
https://www.boligsiden.dk/adresse/strandlodsvej-23c-4-th-2300-koebenhavn-s-01016996_23c__4__th,"Strandlodsvej 23C, 4. th. 2300 København S",115
https://www.boligsiden.dk/adresse/sonnerupvej-15-1-2700-broenshoej-01016728__15__1____,"Sonnerupvej 15, 1. 2700 Brønshøj",85
https://www.boligsiden.dk/adresse/brigadevej-8-0-th-2300-koebenhavn-s-01010844___8_st__th,"Brigadevej 8, st. th. 2300 København S",35
https://www.boligsiden.dk/adresse/hammershoeis-kaj-8-3-th-1402-koebenhavn-k-01012570___8__3__th,"Hammershøis Kaj 8, 3. th. 1402 København K",113
https://www.boligsiden.dk/adresse/oerestads-boulevard-61c-1-th-2300-koebenhavn-s-01018541_61c__1__th,"Ørestads Boulevard 61C, 1. th. 2300 København S",80
https://www.boligsiden.dk/adresse/eskildsgade-64-1-1657-koebenhavn-v-01011664__64__1____,"Eskildsgade 64, 1. 1657 København V",95
https://www.boligsiden.dk/adresse/ulriksdalvej-9-1-2500-valby-01017832___9__1____,"Ulriksdalvej 9, 1. 2500 Valby",100
https://www.boligsiden.dk/adresse/dunkerquegade-26-0-tv-2150-nordhavn-01011374__26_st__tv,"Dunkerquegade 26, st. tv. 2150 Nordhavn",95
https://www.boligsiden.dk/adresse/holsteinsgade-57-1-tv-2100-koebenhavn-oe-01013008__57__1__tv,"Holsteinsgade 57, 1. tv. 2100 København Ø",142
https://www.boligsiden.dk/adresse/paradisaeblevej-80-2-th-2500-valby-01018848__80__2__th,"Paradisæblevej 80, 2. th. 2500 Valby",88
https://www.boligsiden.dk/adresse/ouroegade-33-4-th-2100-koebenhavn-oe-01015348__33__4__th,"Ourøgade 33, 4. th. 2100 København Ø",56
https://www.boligsiden.dk/adresse/godsbanegade-7-1-th-1722-koebenhavn-v-01012260___7__1__th,"Godsbanegade 7, 1. th. 1722 København V",58
https://www.boligsiden.dk/adresse/fjenneslevvej-8-3-2700-broenshoej-01011800___8__3____,"Fjenneslevvej 8, 3. 2700 Brønshøj",81
https://www.boligsiden.dk/adresse/torveporten-17-5-2-2500-valby-01017600__17__5___2,"Torveporten 17, 5. 2. 2500 Valby",70
https://www.boligsiden.dk/adresse/mimersgade-56-3-th-2200-koebenhavn-n-01014768__56__3__th,"Mimersgade 56, 3. th. 2200 København N",70
https://www.boligsiden.dk/adresse/prinsessegade-2b-4-91-1422-koebenhavn-k-01015612__2b__4__91,"Prinsessegade 2B, 4. 91. 1422 København K",51
https://www.boligsiden.dk/adresse/husumgade-49-4-tv-2200-koebenhavn-n-01013092__49__4__tv,"Husumgade 49, 4. tv. 2200 København N",61
https://www.boligsiden.dk/adresse/guldagervej-4-1-tv-2720-vanloese-01012400___4__1__tv,"Guldagervej 4, 1. tv. 2720 Vanløse",70
https://www.boligsiden.dk/adresse/store-kongensgade-92b-5-1264-koebenhavn-k-01016948_92b__5____,"Store Kongensgade 92B, 5. 1264 København K",100
https://www.boligsiden.dk/adresse/centerparken-8-2-th-2500-valby-01011094___8__2__th,"Centerparken 8, 2. th. 2500 Valby",93
https://www.boligsiden.dk/adresse/tove-ma%C3%ABs-vej-1-3-tv-2500-valby-01017606___1__3__tv,"Tove Maës Vej 1, 3. tv. 2500 Valby",98
https://www.boligsiden.dk/adresse/robert-jacobsens-vej-8-5-tv-2300-koebenhavn-s-01015894___8__5__tv,"Robert Jacobsens Vej 8, 5. tv. 2300 København S",91
https://www.boligsiden.dk/adresse/nordre-frihavnsgade-19-2-th-2100-koebenhavn-oe-01015044__19__2__th,"Nordre Frihavnsgade 19, 2. th. 2100 København Ø",101
https://www.boligsiden.dk/adresse/lyngbyvej-32d-9-mf-2100-koebenhavn-oe-01014476_32d__9__mf,"Lyngbyvej 32D, 9. mf. 2100 København Ø",64
https://www.boligsiden.dk/adresse/gasvaerksvej-18b-3-1656-koebenhavn-v-01012136_18b__3____,"Gasværksvej 18B, 3. 1656 København V",80
https://www.boligsiden.dk/adresse/strandlodsvej-18c-2300-koebenhavn-s-01016996_18c_______,Strandlodsvej 18C 2300 København S,123
https://www.boligsiden.dk/adresse/gormsgade-1-4-th-2200-koebenhavn-n-01012268___1__4__th,"Gormsgade 1, 4. th. 2200 København N",153
https://www.boligsiden.dk/adresse/praestoegade-16-5-th-2100-koebenhavn-oe-01015648__16__5__th,"Præstøgade 16, 5. th. 2100 København Ø",71
https://www.boligsiden.dk/adresse/langdraget-19-1-th-2720-vanloese-01014136__19__1__th,"Langdraget 19, 1. th. 2720 Vanløse",51
